FR ID,Requirement (from FSD),FSD section,Milestone,Status,Tracker task(s),Evidence
FR-05.3,Sistem mengirim notifikasi (in-app/email) saat status galeri berubah menjadi terbuka.,4.5,Milestone 3: Role-correct gallery,Not Started,,
FR-05.4,"Host dapat memicu reveal manual sebelum jadwal terjadwal, atau memilih mode tanpa delay sama sekali.",4.5,Milestone 3: Role-correct gallery,Not Started,,
FR-05.5,"Sistem menyajikan galeri tamu yang hanya berisi media milik sesi tamu tersebut, ditegakkan pada level kueri backend.",4.5,Milestone 3: Role-correct gallery,Not Started,,
FR-05.6,Sistem menyajikan seluruh media event kepada pemilik event tanpa terikat status reveal.,4.5,Milestone 3: Role-correct gallery,Not Started,,
FR-06.1,Sistem menyediakan proses kompresi ZIP asinkron untuk seluruh media event.,4.6,Milestone 4: Moderate and export,Not Started,,
FR-06.2,Sistem menyediakan opsi unduh media individual sesuai hak akses peran masing-masing.,4.6,Milestone 4: Moderate and export,Not Started,,
FR-06.3,"Sistem membatasi resolusi/kualitas unduhan sesuai tingkatan paket host, tanpa memblokir kemampuan unduh sama sekali pada paket gratis.",4.6,Milestone 4: Moderate and export,Not Started,,
FR-06.4,Sistem memungkinkan tamu membagikan media miliknya ke beberapa penerima (email/tautan/QR) dengan cakupan terbatas pada media miliknya sendiri.,4.6,Milestone 4: Moderate and export,Not Started,,
FR-07.1,Sistem menyediakan panel ringkasan statistik event secara real-time bagi host.,4.7,Milestone 4: Moderate and export,Not Started,,
FR-07.2,Sistem menyediakan aksi sembunyikan/hapus per item media dengan konfirmasi & jendela undo.,4.7,Milestone 4: Moderate and export,Not Started,,
FR-07.3,Sistem menyediakan mekanisme pelaporan konten untuk eskalasi ke admin internal.,4.7,Milestone 4: Moderate and export,Not Started,,
FR-08.1,Sistem menjadwalkan & mengirim notifikasi email transaksional berbasis event lifecycle.,4.8,Backlog: Should-have and later phases,Not Started,,
FR-08.2,Sistem mencatat preferensi opt-in/opt-out notifikasi per kontak.,4.8,Backlog: Should-have and later phases,Not Started,,
FR-09.1,Sistem menyediakan autentikasi berbasis OTP (email/SMS).,4.9,Milestone 1: Host creates an event,Partial,"T3.3, T3.5, T3.6, T3.7, T3.8, T6.1, T7.1","email OTP over REST and gRPC; host sign-in page /auth/login (two steps, localised errors, rate-limit and lockout wait); verified live against real Redis and Mailpit (T3.8, T7.1); SMS not implemented"
FR-09.2,"Sistem mengintegrasikan payment gateway lokal (QRIS, e-wallet, kartu) yang mendukung nominal mikro.",4.9,Milestone 5: Plans and payment,Not Started,M5.1,
FR-09.3,Sistem mencatat riwayat transaksi & status langganan per host.,4.9,Milestone 5: Plans and payment,Not Started,M5.1,
FR-10.1,"Sistem menyediakan jalur ""Capture Langsung"" dari halaman utama tanpa mewajibkan pembuatan event.",4.10,Backlog: Should-have and later phases,Not Started,,
FR-10.2,Sistem memproses hasil secara instan/sinkron untuk mode ini (target \< beberapa detik).,4.10,Backlog: Should-have and later phases,Not Started,,
FR-10.3,Sistem mendukung pengiriman ke banyak alamat email sekaligus dalam satu aksi.,4.10,Backlog: Should-have and later phases,Not Started,,
FR-10.4,Sistem menghasilkan tautan unduh bertoken unik dan/atau QR sekali pakai dengan masa berlaku terbatas.,4.10,Backlog: Should-have and later phases,Not Started,,
FR-10.5,Sistem menetapkan masa simpan hasil berdasarkan status akun (7 hari anonim / 30 hari login / permanen berbayar) dan menjalankan job penghapusan otomatis saat kedaluwarsa.,4.10,Backlog: Should-have and later phases,Not Started,,
FR-10.6,"Sistem mengaitkan hasil anonim ke akun pengguna saat pengguna login, beserta perpanjangan masa simpannya.",4.10,Backlog: Should-have and later phases,Not Started,,
FR-10.7,Sistem mengirim notifikasi sebelum hasil kedaluwarsa beserta opsi memperpanjang (login atau upgrade berbayar).,4.10,Backlog: Should-have and later phases,Not Started,,
FR-11.1,Sistem menyediakan aksi tandai/lepas tanda Hall of Fame per item media bagi host.,4.11,Backlog: Should-have and later phases,Not Started,,
FR-11.2,Sistem menyediakan halaman Hall of Fame dengan tautan berbagi tersendiri.,4.11,Backlog: Should-have and later phases,Not Started,,
FR-11.3,Sistem mendukung pengaturan ulang urutan tampilan item Hall of Fame.,4.11,Backlog: Should-have and later phases,Not Started,,
FR-11.4,Sistem otomatis mengeluarkan media dari Hall of Fame bila media tersebut dihapus/disembunyikan.,4.11,Backlog: Should-have and later phases,Not Started,,
FR-11.5,(Opsional) Sistem menyediakan daftar kandidat berdasarkan jumlah reaksi tamu sebagai saran kurasi.,4.11,Backlog: Should-have and later phases,Not Started,,
FR-SEC.1,Sistem menyajikan seluruh media hanya melalui pre-signed URL berumur pendek; tidak ada objek yang dapat diakses publik secara permanen.,8.12,Milestone 6: Privacy and compliance readiness,Not Started,,
FR-SEC.2,Sistem membersihkan metadata EXIF (termasuk koordinat GPS) dari seluruh media sebelum disimpan.,8.12,Milestone 6: Privacy and compliance readiness,Not Started,,
FR-SEC.3,Sistem memvalidasi tipe berkas unggahan berdasarkan magic bytes dan menolak berkas yang tidak sesuai.,8.12,Milestone 6: Privacy and compliance readiness,Not Started,,
FR-SEC.4,Sistem menyimpan token pada cookie HttpOnly + Secure + SameSite dan menyediakan mekanisme pencabutan token.,8.12,Milestone 1: Host creates an event,Partial,"T3.5, T3.6, T3.10","HttpOnly/SameSite cookie, hashed expiring tokens; refresh and revocation pending"
FR-SEC.5,"Sistem mengenkripsi kolom PII (email, nomor HP) pada PostgreSQL dengan kunci terpisah dari kunci media.",8.12,Milestone 6: Privacy and compliance readiness,Not Started,M6.1,
FR-SEC.6,Sistem mencatat audit log append-only untuk seluruh aksi sensitif tanpa memuat PII/token mentah.,8.12,Milestone 6: Privacy and compliance readiness,Not Started,,
FR-SEC.7,Sistem memungkinkan pemilik event mencabut tautan/QR event maupun tautan berbagi yang telah dibuat.,8.12,Milestone 6: Privacy and compliance readiness,Not Started,,
FR-SEC.8,"Sistem menghapus seluruh salinan data (storage, basis data, cache, backup) saat masa simpan berakhir atau atas permintaan penghapusan yang sah.",8.12,Milestone 6: Privacy and compliance readiness,Not Started,,
FR-SEC.9,"Sistem menerapkan rate limiting berbasis Redis pada endpoint OTP, unggah, dan pembuatan tautan berbagi.",8.12,Milestone 1: Host creates an event,Partial,"T3.5, T3.6",Redis rate limiting on OTP endpoints; upload and share-link limits pending
FR-SEC.10,Sistem menyertakan header X-Robots-Tag: noindex pada seluruh halaman galeri dan media agar tidak terindeks mesin pencari.,8.12,Milestone 6: Privacy and compliance readiness,Not Started,,
