Phase / Milestone,Task ID,Task & Description,Module / Service,Status,TDD: RED commit,TDD: GREEN commit,Test coverage,FR IDs,Key Deliverables / Artifacts,Last Updated
Milestone 1: Host creates an event,T3.10,Task 3: Email OTP Auth for Hosts — Session logout/revocation endpoint and refresh token (remainder of FR-SEC.4),services/auth,Not Started,,,,FR-SEC.4,Revocable sessions exposed through an endpoint; decide whether a refresh token is still needed,2026-09-19
Milestone 1: Host creates an event,T4.1,"Task 4: Event Service — Event domain: category presets with fallback defaults, event creation, short code and QR (PNG/SVG), host-scoped retrieval","services/event (service, postgres repository, qr)",Completed,acbece7,b726530,90.9%,"FR-01.1, FR-01.2, FR-01.3, FR-01.4","Effective defaults (host override, then defined category default, then unlimited/instant fallback); validation; 8-char base62 short codes with collision retry; 256-bit access token never returned; QR that decodes back to the short link (verified with a real decoder); reads filter by event_id AND host_id",2026-09-20
Milestone 1: Host creates an event,T4.2,Task 4: Event Service — HTTP and gRPC adapters and their wiring into cmd/api,"services/event (http, grpc), cmd/api",Completed,6c65e04 aeb1251,094e6bb cb7f51b 51a1ef0,"90.9% (services/event), 82.7% (cmd/api)","FR-01.1, FR-01.2, FR-01.3, FR-01.4","GET /api/v1/event-categories (public); POST /api/v1/events, GET /api/v1/events/{id}, GET .../qr.png and qr.svg behind RequireHost; sela.event.v1.EventService behind the Bearer interceptor; end-to-end test over HTTP and gRPC including a second host getting 404",2026-09-20
Milestone 1: Host creates an event,T4.3,"Task 4: Event Service — Supporting infrastructure: shared JSON decoder, SHORT_LINK_BASE_URL, event proto extension, gRPC host interceptor","internal/httpx, internal/config, api/proto/v1/event.proto, services/auth",Completed,0a61dd6 1c9b2a8 6f8cf8e b1a51e3,3861ee6 1110a02 ff5ae81 da51888,"100% (httpx), 100% (config), 85.1% (auth)","FR-01.3, FR-SEC.4",httpx.DecodeJSON (auth refactored onto it); required SHORT_LINK_BASE_URL (decision D4); Event.short_link/qr URLs and EventCategory effective_* fields; NewUnaryHostInterceptor with deny-by-default and a public allowlist,2026-09-20
Milestone 1: Host creates an event,T4.4,Task 4: Event Service — Docs sync (FSD v2.6) and tracker update for Task 4,"docs (FSD v2.6), docs/tracking",Completed,n/a (documentation),"n/a (docs/ is gitignored, not committed)",n/a,,"FSD 4.1 implementation notes, 6 endpoints and gRPC, 11.1 status; this tracker",2026-09-20
Milestone 1: Host creates an event,T5.1,Task 5: QR code and short link — Short-link resolver: GET /e/{short_code} (QR generation and the configurable base URL were delivered in T4.1 to T4.3),services/event,Completed,1c6b579 1c6fa33 e8c01ae bebb849,4a9208e 97bdbe1 0e537e9,91.3%,FR-01.3,Resolver for short links to a placeholder guest page until the guest camera exists (Milestone 2),2026-09-19
Milestone 1: Host creates an event,T6.1,"Task 6: Host web flow — Sign-in, category picker, name and date form, result screen with QR and link",apps/web,Completed,e22fc04 abfcf99 deb9be8 d205277 d1100f0 1d11def 7e82db3 63cce8a,840a9e6 9718420 a625187 532c966 94f617f 41bd0e7 1b66d55 e89ee60,"99.7% lines, 90.2% branches, 96.8% statements, 97% functions (151 tests, 13 files)","FR-01.1, FR-01.2, FR-01.3, FR-09.1","Routes /auth/login (two-step email OTP), /events/new (category picker, name/date form, read-only WIB, collapsed advanced overrides), /events/[id] (short link with copy, QR image, PNG/SVG download); SPA (ssr off), same-origin /api Vite dev proxy, Indonesian mobile-first paper-and-ink design. Tooling commit 64bb0d2; test-only fix 2185cb4. Verified in a real browser against a stub API only: Redis/Mailpit were unavailable, so sign-in against the real API is still unverified (see T3.8).",2026-09-20
Milestone 1: Host creates an event,T6.2,Task 6: Host web flow — Docs sync (FSD v2.8) and tracker update for Task 6,"docs (FSD v2.8), docs/tracking",Completed,n/a (documentation),"n/a (docs/ is gitignored, not committed)",n/a,,"FSD 10.1 implementation note, change row, 11.1 status; this tracker",2026-09-20
Milestone 1: Host creates an event,T7.1,Task 7: Verify milestone outcome — Real-stack end-to-end test and automated timing against the 3-minute target (the human timing is T7.2),"apps/web (tests/e2e), scripts/e2e.sh, scripts/check.sh",Completed,56159ff 70c75d0 44e0983,29d31b5 fcdfe29 6037092 96d0a2a 7b11984,"n/a for e2e; helper unit tests 17 (168 unit tests total, web coverage 99.7% lines / 90.2% branches); 10 e2e tests pass on the real stack","FR-01.1, FR-01.2, FR-01.3, FR-09.1","Playwright (installed Chrome) against real cmd/api + Postgres + Redis + Mailpit via scripts/e2e.sh, also run by scripts/check.sh: sign-in from the Mailpit inbox, category, form, event, short link, QR PNG decoded back to the link, PNG/SVG downloads, cookie flags, guest resolver, reload, not-found, signed-out bounce. Scripted setup time 2.7-2.8 s warm (8.5 s cold first run) vs the 180 s target. Tooling commits 58b435f, d34c798.",2026-09-20
Milestone 1: Host creates an event,T7.2,"Task 7: Verify milestone outcome — Human timed usability check: median setup time of 3-5 first-time hosts against the PRD metric (3 minutes or less, no documentation)",docs/tracking (usability_sessions.csv),Pending Verification,n/a,n/a,n/a,"FR-01.1, FR-01.2, FR-01.3",Protocol in docs/tracking/README.md and an empty session template docs/tracking/usability_sessions.csv exist; no sessions have been run. Needs 3-5 first-time hosts; the median of total_s is compared with 180 s and recorded in the PRD metrics table. Automation (T7.1) cannot stand in for it.,2026-09-20
Milestone 1: Host creates an event,T7.3,Task 7: Verify milestone outcome — Docs sync (FSD v2.9) and tracker update for Task 7,"docs (FSD v2.9), docs/tracking, CLAUDE.md",Completed,n/a (documentation),n/a (FSD/CLAUDE.md are gitignored .md files; the tracker files are versioned),n/a,,"FSD change row, 8.6 live-verification note, 10.1 e2e/timing note, 11.1; tracking README timed-check protocol; this tracker",2026-09-20
Milestone 2: Guest captures and uploads,M2.1,"Milestone 2: remaining guest work — Guest camera PWA (getUserMedia, post-shutter canvas, offline upload queue), event status messages and category theme (FR-02.3, FR-02.4), collage, gallery-upload toggle","apps/web, services/media, services/event",Not Started,,,,"FR-02.3, FR-02.4, FR-03.1, FR-03.2, FR-03.4, FR-03.5, FR-03.6, FR-04.2","Guest session, PWA camera pipeline, Redis shot quota, upload validation",2026-09-23
Milestone 2: Guest captures and uploads,T8.1,"Task 8: Guest session and media schema — Migration 0006 (renumbered from 0004; guest_sessions, media, events.involves_minors) and the services/media domain types","internal/db, services/media",Completed,6d1e157,720b11f,100% (services/media),"FR-02.2, FR-04.1, FR-05.5, FR-05.6","Schema with the same-event session key, Hall of Fame rules and gallery indexes. Verified with scripts/check.sh (full gate incl. e2e) after the renumber fix 9328b69/badcd79",2026-09-23
Milestone 2: Guest captures and uploads,T8.2,"Task 8.2: Guest session and shot quota — Anonymous guest session (POST .../guest-session, sela_guest cookie), Redis session store and atomic per-session shot quota with rollback","services/media, internal/config",Completed,83213fa 69a73cb,92f231d 4bb836c,"83.1% (services/media), 100% (internal/config)","FR-02.1, FR-02.2, FR-03.3","Session create/resume for active events only; token hashed in Redis (guest:*) with GUEST_SESSION_TTL; Lua reserve/release on quota:{event}:{session} seeded from media rows; 20-way concurrency test never overspends. scripts/check.sh passed (proto, gofmt, vet, lint, Go + web tests, e2e 10/10)",2026-09-23
Milestone 2: Guest captures and uploads,T8.3,"Task 8.3: Direct upload, processing and gallery visibility — S3 object store (MinIO dev bucket), pre-signed PUT for exact size/type, magic-byte check and EXIF/GPS stripping, sweeper, my-media / hall-of-fame / host media endpoints with SQL-level visibility","internal/objstore, services/media, services/media/strip, cmd/api, deploy",Completed,459695b 4263b3d 69a73cb d8a0998 ac399ad,82f84fd 3bfd703 4bb836c 22eb226 b08dd6a b2cd6b2,"83.1% (services/media), 82.3% (strip), 90.4% (internal/objstore), 82.8% (cmd/api)","FR-04.1, FR-05.5, FR-05.6, FR-SEC.1, FR-SEC.2, FR-SEC.3, FR-SEC.10","JPEG/PNG/WebP up to 20 MB; HEIC and video refused (415) until they can be stripped. Smoke-tested against the real API, Redis and MinIO: signed PUT 200, wrong type 403, served photo has no EXIF/GPS, quota 429, guest isolation, no-cookie 401. scripts/check.sh passed (proto, gofmt, vet, lint, Go + web tests, e2e 10/10)",2026-09-23
Milestone 2: Guest captures and uploads,T8.4,"HEIC and video metadata stripping — Choose and add a metadata-rewriting tool for HEIC and MP4/MOV, then accept those types (video limit 200 MB)",services/media,Not Started,,,,"FR-04.1, FR-SEC.2",Follow-up from T8.3,2026-09-23
Milestone 2: Guest captures and uploads,T8.5,Guest upload and session rate limits — Redis rate limits on guest-session creation and uploads (per session and per connection address),services/media,Not Started,,,,FR-SEC.9,Follow-up from T8.2/T8.3,2026-09-23
Milestone 3: Role-correct gallery,M3.1,"Milestone 3 (not yet planned) — Role-correct gallery, reveal timer, real-time channels","services/gallery, services/realtime",Not Started,,,,FR-05.1-05.6,"Host sees all media, guest only their own, WebSocket channels split by role",2026-09-19
Milestone 4: Moderate and export,M4.1,Milestone 4 (not yet planned) — Moderation and full-gallery ZIP export,"services/gallery, services/media",Not Started,,,,"FR-06.1-06.4, FR-07.1-07.3","Hide/delete, asynchronous ZIP export, share links",2026-09-19
Milestone 5: Plans and payment,M5.1,"Milestone 5 (not yet planned) — Plans, package recommendation and payment (QRIS, e-wallet, card)","services/payment, services/event",Not Started,,,,"FR-01.5, FR-01.6, FR-09.2, FR-09.3",Free and paid tiers by event scale; micro-payments; transaction history,2026-09-19
Milestone 6: Privacy and compliance readiness,M6.1,Milestone 6 (not yet planned) — Privacy and compliance readiness,cross-cutting,Not Started,,,,"FR-SEC.1, FR-SEC.5-SEC.8, FR-SEC.10","PII column encryption with a blind index, audit log, retention and deletion, child-event defaults, noindex headers",2026-09-19
Milestone 7: Closed beta,M7.1,"Milestone 7 (not yet planned) — Closed beta across wedding, graduation and birthday events",operations,Not Started,,,,,Validate the hypothesis and fill the TBD success metrics in the PRD,2026-09-19
Milestone 8: RBAC foundation (cross-cutting platform work),T9.1,"Task 9: RBAC foundation — RBAC schema (roles, menus, dropdowns, actions/permissions) and the services/rbac backend package; events:create gated on the already-shipped create-event route","internal/db (0004, 0005), services/rbac, services/event, cmd/api",Completed,85ac425 e76992d 08d0812 68ae150,cf5f3a8 b85cbb8 1bc1ec4 bb79173,services/rbac 81.9%; services/event 91.3%; cmd/api 83.3%,,"migrations 0004_rbac_foundation.sql, 0005_hosts_role_and_preferences.sql; services/rbac (types/postgres/service/http) with GET /api/v1/auth/me and PATCH /api/v1/me/preferences; RequirePermission wired onto POST /api/v1/events (events:create); seed limited to 2 menus (events_new, settings) and 2 enforced permissions (events:create, profile:update), every existing host granted both so no current behavior changes",2026-09-23
Milestone 8: RBAC foundation (cross-cutting platform work),T9.2,"Task 9: RBAC foundation — Frontend: rbac API client, best-effort profile fetch in the root layout, dynamic Nav, dark theme palette, and the new /settings page with real EN/ID switching",apps/web,Completed,14bc5fe 6dea65a 4be3c95,21fbdb5 e1cb469 23963e0 d98a473 694ba26 99c2c86,184 tests pass; 97.16% statements / 89.65% branches / 97.6% functions / 99.75% lines; svelte-check 0 errors/0 warnings,,"src/lib/api/rbac.ts; src/lib/components/Nav.svelte; :root[data-theme='dark'] palette in tokens.css; +layout.ts best-effort getProfile() (swallows a 401 so /auth/login never breaks); +layout.svelte renders Nav and sets document.documentElement.dataset.theme; src/routes/settings/+page.svelte (role, theme toggle, language toggle, own local EN/ID string table); the three pre-existing host pages keep their hardcoded Indonesian text unchanged",2026-09-23
Milestone 8: RBAC foundation (cross-cutting platform work),T9.3,Task 9: RBAC foundation — Real-stack verification and docs/tracking sync for Task 8,"docs, docs/tracking, CLAUDE.md",Completed,n/a (documentation),"n/a (docs/ is gitignored, not committed)",n/a,,"scripts/check.sh run against Docker Redis+Mailpit and a local Postgres (proto-gen --check, gofmt/vet/lint, go test -cover, svelte-check, vitest coverage, real-stack Playwright e2e); FSD 3.5/5/6/8.6/10.1/11.1 updates; CLAUDE.md bullets for services/rbac and the two new frontend surfaces; this tracker",2026-09-23
Backlog: Should-have and later phases,BL.1,Backlog: Notifications — Scheduled and transactional email/WhatsApp notifications,services/notification,Not Started,,,,FR-08.1-08.2,"Event reminders, reveal notices, expiry warnings",2026-09-19
Backlog: Should-have and later phases,BL.2,Backlog: Hall of Fame — Host-curated highlights visible to guests,services/gallery,Not Started,,,,FR-11.1-11.5,"Curation, ordering and sharing of the best photos",2026-09-19
Backlog: Should-have and later phases,BL.3,Backlog: Personal/Instant Mode (v1.1) — Capture without an event and send results to several recipients,"apps/web, services/media",Not Started,,,,FR-10.1-10.7,Deferred until Event Mode is stable,2026-09-19
